Filter_Return;Filter Central;Ship Mode;Customer ID;Segment;Region;Row ID;Product Name;Quantity;Discount;Profit;Returned;Person
;True;Standard Class;KM-16720;Consumer;Central;6569;Prang Dustless Chalk Sticks;2,0;0,2;1,008;;Kelly Williams
;True;Standard Class;KM-16720;Consumer;Central;6570;DMI Arturo Collection Mission-style Design Wood Chair;3,0;0,3;-18,1176;;Kelly Williams
;True;Standard Class;KM-16720;Consumer;Central;6571;Cameo Buff Policy Envelopes;3,0;0,2;50,4063;;Kelly Williams
;True;Standard Class;KM-16720;Consumer;Central;6572;Kensington Expert Mouse Optical USB Trackball for PC or Mac;3,0;0,2;28,497;;Kelly Williams
True;True;Standard Class;NG-18355;Corporate;Central;6315;Hunt PowerHouse Electric Pencil Sharpener, Blue;4,0;0,0;45,576;Yes;Kelly Williams
True;True;Standard Class;NG-18355;Corporate;Central;6316;Dot Matrix Printer Tape Reel Labels, White, 5000/Box;2,0;0,0;96,3438;Yes;Kelly Williams
True;True;Standard Class;NG-18355;Corporate;Central;6317;Xerox 1885;3,0;0,0;69,1776;Yes;Kelly Williams
True;True;Standard Class;NG-18355;Corporate;Central;6318;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;2,0;0,0;7,98;Yes;Kelly Williams
;True;First Class;MC-17575;Consumer;Central;6252;Staple holder;1,0;0,8;-6,3441;;Kelly Williams
;True;First Class;MC-18100;Consumer;Central;1575;ARKON Windshield Dashboard Air Vent Car Mount Holder;3,0;0,2;-9,153;;Kelly Williams
;True;First Class;MC-18100;Consumer;Central;1576;Lifetime Advantage Folding Chairs, 4/Carton;5,0;0,3;-21,808;;Kelly Williams
;True;Second Class;EB-14170;Consumer;Central;9558;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;2,0;0,6;-1,5936;;Kelly Williams
;True;First Class;AB-10105;Consumer;Central;4283;Avery 487;1,0;0,0;1,7343;;Kelly Williams
;True;First Class;AB-10105;Consumer;Central;4284;Ibico Ibimaster 300 Manual Binding System;3,0;0,0;496,7865;;Kelly Williams
;True;Standard Class;VG-21805;Corporate;Central;5725;SAFCO Commercial Wire Shelving, Black;3,0;0,2;-82,884;;Kelly Williams
;True;Standard Class;CM-12715;Corporate;Central;7546;Motorola Droid Maxx;6,0;0,2;71,9952;;Kelly Williams
;True;Standard Class;CM-12715;Corporate;Central;7547;Cisco 8x8 Inc. 6753i IP Business Phone System;7,0;0,2;66,1451;;Kelly Williams
